,Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected
653,Vandalism,2011,6/30/2011,22:31:00,6/30/2011,22:31:00,Tacoma Power (TPWR),"Olympic Pipeline Substation, Washington",WECC,0,0
657,Vandalism,2011,6/27/2011,18:55:00,6/27/2011,18:55:00,City of Tacoma (TPWR),"Olympic Pipeline Substation, Washington",WECC,UNK,UNK
662,Vandalism,2011,6/23/2011,08:10:00,6/23/2011,09:00:00,ISO New England/Velco,"Highgate, Vermont",NPCC,0,0
663,Vandalism,2011,6/22/2011,20:12:00,6/22/2011,20:12:00,Tacoma Power (TPWR),"Knoble Substation, Spanaway, Washington",WECC,0,0
668,Vandalism,2011,6/20/2011,10:36:00,6/20/2011,10:36:00,Tacoma Power (TPWR),"Collins Substation, Washington",WECC,0,0
672,Vandalism,2011,6/15/2011,16:00:00,6/16/2011,06:30:00,PacifiCorp,"Bingham County, Idaho",WECC,,
676,Suspected Physical Attack,2011,6/9/2011,14:15:00,6/9/2011,14:15:00,Southern California Edison (SCE),"San Antonio Dam Area, Los Angeles County, California",WECC,0,0
679,Vandalism,2011,6/8/2011,12:58:00,6/8/2011,12:58:00,Tacoma Power (TPWR),"Fredrickson Substation, Washington",WECC,,
685,Vandalism,2011,6/4/2011,01:17:00,6/4/2011,03:25:00,Pacific Gas and Electric,"Midway, California",WECC,UNK,420
694,Physical Attack,2011,5/24/2011,09:00:00,5/25/2011,09:10:00,Edison Mission Generation (Fisk Station),"Chicago, Illinois",RFC,0,0
698,Physical Attack,2011,5/21/2011,17:00:00,5/22/2011,18:34:00,"Terra-Gen Dixie Valley, LLC","Dixie Valley Area, Nevada",WECC,56,UNK
699,Vandalism,2011,5/13/2011,06:00:00,5/13/2011,06:00:00,PacifiCorp,"Salt Lake, Utah",WECC,0,0
701,Vandalism,2011,5/11/2011,15:55:00,5/12/2011,13:57:00,Minnesota Power,"Colbyville, Haines Road and Arrowhead Substations, Minnesota",MRO,0,0
702,Vandalism,2011,5/11/2011,13:35:00,5/11/2011,13:35:00,PacifiCorp,"Green River, Wyoming",WECC,0,0
703,Vandalism,2011,5/11/2011,11:00:00,5/11/2011,11:30:00,Central Hudson Gas & Electric Corp.,"North Chelsea Substation, New York",NPCC,0,0
704,Vandalism,2011,5/10/2011,13:45:00,5/10/2011,15:00:00,ISO New England,New Hampshire,NPCC,0,0
707,Vandalism,2011,5/9/2011,13:11:00,5/9/2011,13:11:00,Public Service of New Hampshire,"Milton, New Hampshire",NPCC,0,0
708,Suspected Physical Attack,2011,5/9/2011,04:08:00,5/9/2011,06:40:00,"Exelon Generation Company, LLC","Holtwood, Pennsylvania",RFC,630,UNK
709,Vandalism,2011,5/8/2011,19:35:00,5/8/2011,19:35:00,"Castleton Power, LLC",New York,NPCC,UNK,0
710,Vandalism,2011,5/6/2011,06:56:00,5/6/2011,10:30:00,PacifiCorp,"Alderwood Substation, Portland, Oregon",WECC,0,0
711,Vandalism,2011,5/5/2011,09:15:00,5/5/2011,09:15:00,ISO New England,New Hampshire,NPCC,0,0
712,Suspected Sabotage,2011,5/4/2011,12:20:00,5/4/2011,15:40:00,"ITC Holdings, Inc.",Michigan,RFC,0,0
713,Suspected Physical Attack,2011,5/4/2011,13:08:00,5/4/2011,13:25:00,FirstEnergy Generation,Maryland,RFC,0,0
714,Suspected Physical Attack,2011,5/3/2011,12:00:00,5/5/2011,12:00:00,New York Power Authority,"St. Lawrence Power Dam, New York",NPCC,0,0
716,Suspected Physical Attack,2011,5/2/2011,14:00:00,5/2/2011,14:00:00,The United Illuminating Company,"West River Substation, New Haven, Connecticut",NPCC,0,0
717,Vandalism,2011,5/2/2011,08:52:00,5/2/2011,10:46:00,PacifiCorp,"N. Ogden Substation, Ogden, Utah",WECC,0,0
724,Vandalism,2011,4/26/2011,13:04:00,4/26/2011,14:00:00,PacifiCorp,"Salt Lake City, Utah",WECC,0,0
730,Suspicious Activity,2011,4/21/2011,19:00:00,4/29/2011,19:05:00,ITC Holdings,"Trenton, Michigan",RFC,UNK,UNK
731,Vandalism,2011,4/21/2011,07:15:00,4/21/2011,16:50:00,PacifiCorp,"Oquirrh Substation, Salt Lake City, Utah",WECC,0,0
737,Vandalism,2011,4/19/2011,14:01:00,4/19/2011,16:04:00,Tacoma Power Water Rail (TPWR),"Graham, Washington",WECC,0,0
740,Suspicious Activity,2011,4/11/2011,17:40:00,4/11/2011,17:51:00,PacifiCorp,"Salt Lake City, Utah",WECC,0,0
741,Vandalism,2011,4/6/2011,10:50:00,4/6/2011,10:50:00,Delmarva Power & Light Company,"Felton, Delaware",RFC,0,0
749,Suspected Cyber Attack,2011,4/3/2011,20:23:00,4/5/2011,15:00:00,Entergy Corporation,,SERC,0,0
755,Vandalism,2011,3/21/2011,00:57:00,3/21/2011,02:29:00,ISO New England,"Deerfield, New Hampshire",NPCC,,
758,Vandalism,2011,3/18/2011,09:54:00,3/18/2011,15:34:00,Dayton Power & Light,"Greene County, Ohio",RFC,,
759,Vandalism,2011,3/17/2011,07:40:00,3/17/2011,11:00:00,ISO New England,"Deerfield, New Hampshire",NPCC,,
760,Suspected Physical Attack,2011,3/15/2011,18:00:00,3/15/2011,19:14:00,"Entergy Services, Incorporated","The Woodlands, Texas",TRE,,
761,Suspected Cyber Attack,2011,3/14/2011,07:30:00,3/14/2011,16:55:00,Baltimore Gas & Electric,"Baltimore, Maryland",RFC,,
764,Suspected Physical Attack,2011,3/10/2011,12:03:00,3/11/2011,06:00:00,ERCOT ISO,Texas,TRE,,
766,Vandalism,2011,3/6/2011,02:54:00,3/8/2011,08:00:00,PacifiCorp,"Salt Lake City Region, Utah",WECC,UNK,0
771,Vandalism,2011,2/25/2011,10:30:00,2/25/2011,10:45:00,PacifiCorp,"Salt Lake City, Utah",WECC,0,0
774,Vandalism,2011,2/19/2011,16:34:00,2/19/2011,16:34:00,Delmarva Power & Light Company,"Harrington, Delaware",RFC,0,0
776,Suspected Cyber Attack,2011,2/17/2011,13:00:00,2/23/2011,16:53:00,City of Roseville (Roseville Electric),"Roseville, California",WECC,0,0
778,Vandalism,2011,2/10/2011,13:00:00,2/10/2011,13:00:00,Tacoma Power - TPWR,"LaGrande, Washington",WECC,0,0
779,Vandalism,2011,2/9/2011,14:54:00,2/9/2011,17:00:00,Tacoma Power - TPWR,"University Place, Washington",WECC,0,0
782,Suspected Cyber Attack,2011,2/3/2011,14:30:00,2/3/2011,14:30:00,Potomac Electric Power Co/PEPCO Holdings Inc.,"Bowie, Maryland",RFC,,0
793,Vandalism,2011,1/27/2011,09:30:00,1/27/2011,09:30:00,Delmarva Power & Light Company,"Hockessin, Delaware",RFC,0,0
797,Suspected Telecommunications Attack,2011,1/26/2011,09:25:00,1/27/2011,17:00:00,NV Energy,"Carson City, Nevada",WECC,0,0
798,Vandalism,2011,1/26/2011,09:33:00,1/27/2011,15:03:00,ITC Transmission,Michigan,RFC,0,0
800,Vandalism,2011,1/25/2011,03:23:00,1/25/2011,11:00:00,Atlantic City Electric,"Newark, Delaware",RFC,0,0
801,Suspicious Activity,2011,1/24/2011,13:20:00,1/24/2011,13:30:00,El Paso Electric Company,"Newman Power Plant, Texas",WECC,0,0
802,Vandalism,2011,1/23/2011,07:00:00,1/23/2011,13:00:00,PacifiCorp,"Franklin County, Idaho",WECC,0,0
803,Vandalism,2011,1/18/2011,14:00:00,1/18/2011,14:00:00,National Grid,"Whitman, Auburn St Substation, Massachusetts",NPCC,0,0
1578,Vandalism,2003,4/28/2003,15:41:00,4/29/2003,12:00:00,American Transmission Company,"County of Waukesha,  Wisconsin,  Town of Lisbon, Wisconsin",MAIN,0,0
1583,Cyber Threat From Internet,2003,1/25/2003,14:00:00,1/26/2003,02:00:00,Cinergy Corporation,"Cincinnati, Ohio",ECAR,,
1601,Vandalism/Insulators,2002,4/8/2002,15:00:00,3/9/2002,,Arizona Public Service,Arizona,WECC,0,0
1635,Vandalism,2000,5/31/2000,01:15:00,,,Arizona Public Serv Co.,Arizona,WECC,None,None
1643,Suspected Sabotage,2000,4/20/2000,,,,Independence Electricity Market Operator,,NPCC,None,None
1648,Vandalism,2000,3/14/2000,21:06:00,,,Alliant Energy,Maine,MAIN,,
