,Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected
353,Physical Attack; Vandalism,2012,10/24/2012,15:15:00,10/24/2012,15:16:00,Delmarva Power & Light Company,"Frankford, Delaware",RFC,0,0
354,Physical Attack; Vandalism,2012,10/24/2012,00:00:00,10/24/2012,00:01:00,Potomac Electric Power Company (PEPCO),"Kingswood, Maryland",RFC,0,0
355,Suspected Physical Attack,2012,10/24/2012,00:00:00,10/24/2012,00:01:00,Potomac Electric Power Company (PEPCO),"Brighton, Maryland",RFC,0,0
357,Physical Attack; Vandalism,2012,10/22/2012,00:00:00,10/22/2012,00:01:00,Potomac Electric Power Company (PEPCO),"Norbeck, Maryland",RFC,0,0
358,Vandalism; Theft,2012,10/15/2012,14:15:00,10/15/2012,14:16:00,ISO New England,Southeast Vermont,NPCC,0,0
360,Vandalsim,2012,10/11/2012,00:00:00,10/11/2012,00:01:00,Potomac Electric Power Company (PEPCO),"Seat Pleasant, Maryland",RFC,0,0
361,Vandalsim,2012,10/9/2012,00:00:00,10/9/2012,00:01:00,Potomac Electric Power Company (PEPCO),"Seat Pleasant, Maryland",RFC,0,0
362,Suspected Physical Attack,2012,10/5/2012,17:30:00,10/5/2012,17:50:00,Western Area Power Authority - Sierra Nevada Region,"Greater Sacramento, California",WECC,,
364,Suspected Physical Attack,2012,9/24/2012,00:00:00,9/25/2012,00:00:00,PEPCO (Potomac Electric Power Company),"Brighton, Maryland",RFC,0,0
376,Suspected Physical Attack,2012,8/19/2012,08:42:00,8/19/2012,12:08:00,El Paso Electric Co,"El Paso, Texas",WECC,12,"3,314"
377,Vandalism,2012,8/16/2012,13:13:00,8/16/2012,13:13:00,Northern Indiana Public Service Company,Northern Indiana,RFC,0,0
379,Vandalism,2012,8/13/2012,13:15:00,8/13/2012,13:15:00,Tennessee Valley Authority,"Knoxville, Tennessee",SERC,,
380,Suspected Physical Attack,2012,8/11/2012,12:45:00,8/11/2012,17:00:00,"City of Tacoma, TPWR","Tacoma, Washington",WECC,,
392,Vandalism,2012,7/19/2012,12:32:00,7/19/2012,12:33:00,Delmarva Power & Light Company,"Newark, Delaware",RFC,,
402,Vandalism,2012,7/6/2012,15:05:00,7/6/2012,15:06:00,City of Tacoma - TPWR,"Tacoma, Washington",WECC,,
421,Physical Attack,2012,6/29/2012,10:45:00,6/29/2012,10:45:00,Delmarva Power & Light Company,"New Castle, Delaware",RFC,0,0
428,Vandalism,2012,6/13/2012,16:55:00,6/13/2012,22:09:00,Public Service Company of New Mexico,"San Juan County, New Mexico",WECC,0,0
432,Vandalism,2012,6/6/2012,12:37:00,6/6/2012,12:37:00,Potomac Electric Power Company (PEPCO),"Columbia Heights, NW, Washington DC",RFC,0,0
433,Vandalism,2012,6/6/2012,08:00:00,6/6/2012,08:00:00,New York Power Authority,"Delhi, New York",NPCC,,
434,Vandalism,2012,6/2/2012,07:30:00,6/2/2012,11:35:00,Pacific Gas and Electric Company,"San Francisco, California",WECC,,
435,Physical Attack,2012,5/31/2012,23:45:00,6/1/2012,04:30:00,American Electric Power (AEP),"Columbus, Ohio",RFC,0,0
436,Physical Attack,2012,5/29/2012,18:30:00,5/29/2012,19:40:00,Tacoma Power (TPWR),"Alder Dam, Pierce County, Washington",WECC,,
438,Physical Attack,2012,5/24/2012,15:20:00,5/25/2012,17:29:00,ISO New England,"Tyngsborough, Massachusetts",NPCC,UNK,UNK
439,Vandalism,2012,5/11/2012,11:05:00,5/11/2012,11:20:00,Tacoma Power (TPWR),"Lakewood, Washington",WECC,,
441,Vandalism,2012,5/7/2012,12:50:00,5/7/2012,14:00:00,ISO New England,"Williston, Vermont",NPCC,0,0
442,Suspected Physical Attack,2012,4/23/2012,11:56:00,4/23/2012,15:35:00,Seattle City Light,"Snohomish County, Washington",WECC,,
443,Suspected Physical Attack,2012,4/23/2012,08:11:00,4/23/2012,12:47:00,Northern Indiana Public Service Company (NIPSCO),Northwest Indiana,RFC,,
444,Physical Attack,2012,4/21/2012,15:02:00,4/21/2012,20:09:00,ISO New England,"East Bridgewater, Massachusetts",NPCC,,
445,Suspected Physical Attack,2012,4/21/2012,20:55:00,4/23/2012,16:30:00,Tacoma Power (TPWR),"Tacoma, Washington",WECC,,
447,Suspected Physical Attack,2012,4/19/2012,07:53:00,4/19/2012,16:00:00,Tacoma Power (TPWR),"Tacoma, Washington",WECC,,
448,Suspected Physical Attack,2012,4/17/2012,06:11:00,4/17/2012,17:48:00,San Diego Gas & Electric Company,"San Diego County, California",WECC,0,0
450,Suspected Physical Attack,2012,4/15/2012,19:38:00,4/15/2012,21:26:00,Southern Company,Georgia,SERC,UNK,UNK
451,Suspected Physical Attack,2012,4/12/2012,08:08:00,4/12/2012,16:30:00,Tacoma Power (TPWR),"Tacoma, Washington",WECC,,
452,Vandalism,2012,4/11/2012,09:00:00,4/11/2012,09:00:00,North Attleborough Electric Department,"North Attleboro, Massachusetts",NPCC,0,0
453,Physical Attack,2012,4/7/2012,14:35:00,4/7/2012,14:36:00,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0
454,Physical Attack,2012,4/7/2012,12:25:00,4/7/2012,12:26:00,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0
455,Physical Attack,2012,4/7/2012,09:31:00,4/7/2012,09:32:00,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0
456,Suspected Physical Attack,2012,4/4/2012,15:32:00,4/6/2012,15:30:00,Western Area Power Authority - Sierra Nevada Region (WASN),"WAPA-SNR Regional Office, California",WECC,,
457,Physical Attack,2012,4/3/2012,15:33:00,4/3/2012,20:25:00,Seattle City Light,"Seattle, Washington",WECC,0,0
458,Vandalism,2012,4/3/2012,11:10:00,4/3/2012,11:25:00,ISO New England,"West Rutland, Vermont",NPCC,0,0
459,Vandalism,2012,4/1/2012,20:27:00,4/3/2012,08:28:00,Mid American Energy Company,"Council Bluffs, Iowa",MRO,0,0
460,Suspected Physical Attack,2012,3/30/2012,11:10:00,3/30/2012,11:30:00,ISO New England,Vermont,NPCC,,
462,Suspected Physical Attack,2012,3/28/2012,10:17:00,3/28/2012,10:17:00,Tacoma Power (TPWR),"Graham, Washington",WECC,,
463,Suspected Physical Attack,2012,3/26/2012,13:24:00,3/26/2012,13:24:00,Tacoma Power (TPWR),"Tacoma, Washington",WECC,,
464,Suspected Physical Attack,2012,3/23/2012,19:34:00,3/23/2012,19:34:00,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0
466,Suspected Physical Attack,2012,3/16/2012,16:00:00,3/16/2012,16:00:00,Delmarva Power & Light Company,"New Castle, Delaware",RFC,0,0
467,Suspected Physical Attack,2012,3/4/2012,13:38:00,3/5/2012,11:00:00,Entergy Corporation,Texas,SERC,UNK,UNK
468,Suspected Physical Attack,2012,3/4/2012,01:27:00,3/4/2012,06:58:00,Potomac Electric Power (Pepco Holdings Inc.),"Prince Georges County, Maryland",RFC,,
473,Suspected Physical Attack,2012,2/28/2012,07:00:00,2/28/2012,07:00:00,Coos Curry Electric Cooperative,Coos County Oregon,WECC,UNK,UNK
475,Suspected Physical Attack,2012,2/24/2012,11:24:00,2/24/2012,11:49:00,Tacoma Power (TPWR),"Spanaway, Washington",WECC,,
476,Suspected Physical Attack,2012,2/23/2012,05:45:00,2/23/2012,15:02:00,City of College Station,"South East College Station, Texas",TRE,0,0
477,Suspected Physical Attack,2012,2/23/2012,23:12:00,2/24/2012,01:00:00,ISO New England,"Londonderry, New Hampshire",NPCC,0,0
479,Suspected Cyber Attack,2012,2/17/2012,03:00:00,2/17/2012,11:33:00,"Entergy Services, Inc","Little Rock, Arkansas",SERC,UNK,UNK
480,Suspected Physical Attack,2012,2/15/2012,05:33:00,2/15/2012,17:30:00,Puget Sound Energy,"Port Orchard, Washington",WECC,0,0
481,Suspected Physical Attack,2012,2/14/2012,19:20:00,2/15/2012,16:00:00,Tacoma Power (TPWR),"Tacoma, Washington",WECC,,
482,Suspected Physical Attack,2012,2/13/2012,07:02:00,2/13/2012,16:25:00,Progress Energy Carolinas,"Asheville, North Carolina",SERC,,
483,Suspected Physical Attack,2012,2/11/2012,08:47:00,2/11/2012,10:30:00,Xcel Energy (Public Service Company of Colorado),"Lamar, Colorado",WECC,0,0
484,Suspected Physical Attack,2012,2/11/2012,08:55:00,2/11/2012,08:55:00,Tacoma Power (TPWR),"Tacoma, Washington",WECC,,
485,Vandalism,2012,1/29/2012,12:45:00,1/29/2012,12:45:00,Tacoma Power (TPWR),"Roosevelt Substation, Tacoma, Washington",WECC,,
486,Vandalism,2012,1/27/2012,09:40:00,1/27/2012,09:40:00,Tacoma Power (TPWR),"Frederickson Substation, Spanaway, Washington",WECC,,
487,Vandalism,2012,1/24/2012,11:22:00,1/24/2012,11:22:00,Tacoma Power (TPWR),"Tacoma, Washington",WECC,,
489,Suspected Cyber Attack,2012,1/17/2012,10:31:00,1/17/2012,17:21:00,"Pedernales Electric Cooperative, Inc.","Austin, Texas",TRE,,0
490,Vandalism,2012,1/15/2012,09:35:00,1/15/2012,09:35:00,Tacoma Power (TPWR),"Tacoma, Washington",WECC,,
491,Physical Attack,2012,1/13/2012,09:20:00,1/13/2012,09:20:00,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0
492,Physical Attack,2012,1/12/2012,08:26:00,1/12/2012,08:26:00,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0
493,Suspected Physical Attack,2012,1/11/2012,07:19:00,1/11/2012,09:07:00,Nevada Power Company (NV Energy),Nevada,WECC,0,0
495,Vandalism,2012,1/9/2012,14:30:00,1/9/2012,15:30:00,ISO New England/Convex,"Watertown, Connecticut",NPCC,,
497,Sabotage,2012,1/5/2012,10:35:00,1/5/2012,12:25:00,American Electric Power,"CSWS/AEP West territory, Oklahoma",SPP,0,0
498,Suspected physical attack,2012,1/5/2012,10:28:00,1/5/2012,12:25:00,Oklahoma Gas and Electric,"Creek County, Oklahoma",SPP,,
499,Suspected physical attack,2012,1/4/2012,12:14:00,1/4/2012,12:14:00,Tacoma Power (TPWR),"Tacoma, Washington",WECC,,
500,Suspected Physical Attack,2011,12/31/2011,21:26:00,12/31/2011,21:26:00,City of Tacoma (TPWR),"Tacoma, Washington",WECC,,
501,Suspected Cyber Attack,2011,12/21/2011,10:30:00,12/21/2011,10:30:00,Idaho Power Company,"Boise, Idaho",WECC,0,0
502,Suspected Physical Attack,2011,12/20/2011,09:30:00,12/20/2011,09:31:00,City of Tacoma (TPWR),"Tacoma, Washington",WECC,,
503,Suspected Physical Attack,2011,12/20/2011,07:45:00,12/20/2011,08:45:00,PacifiCorp,"Sweet Home, Oregon",WECC,12,"2,500"
504,Suspected Physical Attack,2011,12/19/2011,08:48:00,12/19/2011,16:00:00,City of Tacoma (TPWR),"Croft Substation, Tacoma, Washington",WECC,,
